Query,Match 1,Match 2,Match 3,Match 4,Match 5,Match 6,Match 7,Match 8,Match 9,Match 10,Match 11,Match 12,Match 13,Match 14,Match 15,Match 16,Match 17,Match 18,Match 19,Match 20,Match 21,Match 22,Match 23
#MIXED QUERY,,,,,,,,,,,MIXED QUERY,,,,,,,,,,,,
Machines with the highest number of caps closed or bootle closed,euro pk,next vp,next pk,equatorque,euro pp-c,euro pp-g,euro vp,euro va,euro vpa,over,flex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market beverage,euro pk ,next vp,next pk,eagle pk,euro vp,eagle vp,geyser,equatorque,euro va-cb,euro va,eagle va,esse,esse pk,eagle c,reverse,over,flex,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market beer,eagle pp,esse,esse pk,eagle c,quasar r,quasar f,quasar rf,gemini r,gemini f,gemini rf,euro va-cb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market food ,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,geyser,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,eagle va,esse,esse pk,reverse,over,flex,NULL,NULL,NULL,NULL
Machines with main market chemical,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,over,flex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market pharmaceutical,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,eagle va,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market personal care,euro dd,euro pp-c,euro pp-g,kamma pkv,eagle pp,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market home care,euro dd,euro pp-c,euro pp-g,kamma pkv,eagle pp,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market spirits,eagle vp,euro vpa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market wine ,esse,esse pk,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,la champenoise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market wine and spirits,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,eagle va,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market champagne,esse,eagle c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines using plastic pressure caps,euro pp-c,euro pp-g,kamma pkv,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines using mushroom plastic caps,euro pp-c,euro pp-g,kamma pkv,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with mushroom corks,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with straight corks,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with T caps ,euro pp-c,euro pp-g,kamma pkv,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with closure chuck with vacuum,kamma pkv,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines for aluminium caps ,euro va-cb,euro va,euro vpa,eagle va,esse,reverse,la champenoise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines wih arms with hard metal insert,reverse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines for steel crown corks,esse pk,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines for stainless steel corks,esse,eagle c,la champenoise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines for iron corks,esse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with plastic caps,euro pk,next vp,next pk,eagle pk,equatorque,la champenoise,reverse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with flat caps,euro pk,next vp,next pk,eagle pk,equatorque,over,flex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with sport caps,euro pk,eagle pk,over,flex,equatorque,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with fragile caps,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with magnetic synchronous heads,euro pk,next vp,next pk,eagle pk,eagle vp,geyser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with hysteresis heads,euro pk,next vp,next pk,geyser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with ssd threading heads,euro va,eagle va,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with ssd/cb threading heads,euro va-cb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with vpa900 threading or edging heads,euro vpa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with painted steel components not washable,euro pk,eagle pk,euro vp,eagle vp,euro dd,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,eagle va,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with inox external surfaces,euro pk,eagle pk,euro vp,eagle vp,euro dd,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,euro vpa,eagle va,esse,esse pk,eagle c,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,la champenoise,reverse
Washable machines,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,geyser,euro dd,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,euro vpa,eagle va,esse,esse pk,eagle c,quasar r,quasar f,quasar rf,la champenoise
Machines with stainless steel components,euro pk,eagle pk,euro vp,euro vp,eagle vp,geyser,euro dd,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,euro vpa,eagle va,esse,esse pk,eagle c,quasar r,quasar f,quasar rf,la champenoise,NULL
Machines that automatically ejects overturned caps,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,euro vpa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with n2 injection device,euro pk,next vp,next pk,euro va-cb,equatorque,euro va,euro vpa,eagle va,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,NULL,NULL,NULL,NULL,NULL,NULL
Machines with caps washing,euro pk,next vp,next pk,eagle pk,euro vp,equatorque,eagle va,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with ionizer,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va-cb,euro va,euro vpa,esse,esse pk,la champenoise,NULL,NULL,NULL,NULL,NULL,NULL
Machines with dust extraction,euro pk ,next vp,next pk,eagle pk,euro vp,eagle vp,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va-cb,euro va,euro vpa,esse,esse pk,eagle c,saturno r,saturno f,saturno rf,la champenoise,NULL,NULL
Machines with uv lamp,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va-cb,euro va,euro vpa,eagle va,esse,esse pk,eagle c,la champenoise,NULL,NULL,NULL,NULL
Machines with bottle neck cleaning,euro pk,next vp,next pk,eagle pk,euro vp,equatorque,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with steam injection,euro pk,next vp,next pk,eagle pk,euro vp,geyser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with sorter,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,geyser,euro dd,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va-cb,euro va,euro vpa,eagle va,flex,NULL,NULL,NULL,NULL,NULL
Machines with corks feeder,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with corks sorter ,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines caps chute,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,geyser,euro dd,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va-cb,euro va,euro vpa,eagle va,NULL,NULL,NULL,NULL,NULL,NULL
Machines with edging heads,euro vpa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with threading heads ,euro va-cb,euro va,euro vpa,eagle va,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines pick and place,euro pk,next vp,next pk,euro vp,eagle vp,geyser,euro dd,euro pp-c,euro pp-g,kamma pkv,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with containers handling,euro pk,next vp,next pk,eagle pk,euro vp,reverse,euro dd,equatorque,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with height adjustment,eagle vp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with motorized height adjustment,euro pk,eagle pk,euro vp,euro dd,equatorque,kamma pkv,eagle pp,euro va-cb,euro va,euro vpa,eagle c,eagle va,esse,esse pk,gemini r,gemini f,gemini rf,la champenoise,reverse,NULL,NULL,NULL,NULL
Machines with centralized lubrification,euro pk,euro vp,geyser,euro pp-c,euro pp-g,kamma pkv,euro va,euro vpa,reverse,esse,esse pk,euro va-cb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with multibody equipment,euro pk,next vp,next pk,euro vp,equatorque,euro pp-c,euro pp-g,euro va,euro vpa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with caps elevator,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,euro dd,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va-cb,euro va,euro vpa,eagle c,eagle va,esse,esse pk,la champenoise,flex,NULL,NULL
Machines with star-wheel for equally spacing the caps,flex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with conveyor belt,flex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with caps buffer,euro pk,next vp,next pk,euro vp,flex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with caps orienting by gravity ,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with caps exit through blower,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with 500 litres hopper,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with secondary belt in the hopper,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with discharging height 2500 mm,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with electrical board with plc,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with twin hopper,euro pk,next vp,next pk,euro vp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with flat buffer,euro pk,next vp,next pk,euro vp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with closure chucks,next vp,next pk,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with closure grippers,next vp,next pk,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lube free machines,next vp,next pk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ultraclean machines,next vp,next pk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aseptic machines,next vp,next pk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines for irregular geometry caps,euro vp,eagle vp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines for large caps,euro vp,eagle vp,equatorque,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with aluminium pre-threaded caps,euro vp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with bottle-neck guide assembly ,euro pp-c,euro pp-g,kamma pkv,euro va-cb,euro va,euro vpa,esse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with body-guide assembly,eagle vp,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va-cb,euro va,euro vpa,esse,la champenoise,eagle va,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with bidule neck + chute,la champenoise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with chucks,euro pp-c,euro pp-g,kamma pkv,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with grippers,eagle vp,euro pp-c,euro pp-g,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with supplementary hopper,eagle vp,eagle pp,eagle va,eagle c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Twist-Off Plastic Caps,geyser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines that apply dispensers,euro dd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pre-Inserted tube into the container,euro dd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with caps revolver,equatorque,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with standard closure spindles,esse pk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with ies closure spindles,esse pk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with washables spindles,esse pk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with spring plates,esse pk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with deionization lamp,eagle c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with compressing unit heating system,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with gas evacuation from bottle-neck,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with automatic die regulation ,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with bottle-neck gas evacuation circuit cleaning ,quasar r,quasar f,quasar rf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with stainless steel infeed worm ,reverse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with magnetic cleats,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines 1000/1500/2000 litress hopper,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with discharging height 6000 mm,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
